time,latitude,longitude,BurntArea,BAs_GWIS,FCCI_BA,ws10,Lai,swvl1,mslp,rH_cf,FCD_emissions,FRP_emissions,ssr,NDVI
2001-03-14 12:00:00,13.875,103.875,0.0,0.0,0.0,1.5805762,3.3,0.41563225,100935.695,71.000626,,,13.775974,0.65259236
2001-01-01 12:00:00,13.875,104.125,42.879997,29937.193,7142.767,1.6114987,2.7,0.27108616,101089.39,55.03613,,,13.404251,0.6478637
2001-03-14 12:00:00,13.875,104.125,0.0,0.0,0.0,1.4494603,1.6,0.4210307,100952.76,72.544174,,,13.7326975,0.58702546
2001-01-01 12:00:00,13.875,104.375,1757.76,32608.197,24830.64,1.5350884,1.6,0.2673465,101088.055,55.27883,,,13.537186,0.620275
2001-03-14 12:00:00,13.875,104.375,0.0,0.0,160.994,1.3373706,1.2,0.41122144,100949.516,72.48085,,,13.841061,0.52296585
2001-01-01 12:00:00,13.875,104.625,192.93,8597.674,12595.098,1.546142,1.4,0.20827892,101087.17,54.179153,,,13.782558,0.63297784
2001-03-14 12:00:00,13.875,104.625,0.0,0.0,5.3664,1.3111421,0.90000004,0.33832523,100948.63,71.449875,,,14.127982,0.46587226
2001-01-01 12:00:00,13.875,104.875,728.81995,0.0,13137.11,1.5945864,1.6,0.20949341,101084.98,52.209408,,,14.037252,0.64160585
2001-03-14 12:00:00,13.875,104.875,0.0,0.0,118.0622,1.3278059,1.0,0.31162143,100943.49,69.02774,,,14.5457,0.47428375
2001-01-01 12:00:00,13.625,101.625,192.93,2343.155,525.9137,1.8575392,0.90000004,0.24402547,101082.52,57.672424,,,13.822428,0.5967606
2001-03-14 12:00:00,13.625,101.625,0.0,0.0,0.0,1.6100092,0.90000004,0.44583148,100950.23,73.52939,,,13.74817,0.4185654
2001-01-01 12:00:00,13.625,101.875,364.4,1721.6332,1738.7352,1.8159231,0.90000004,0.18784012,101090.05,58.911743,,,13.883484,0.5632686
2001-03-14 12:00:00,13.625,101.875,0.0,0.0,0.0,1.5851212,0.90000004,0.386437,100956.516,74.002365,,,13.77652,0.39896062
2001-01-01 12:00:00,13.625,102.125,621.64996,2661.965,6665.152,1.7781566,0.8,0.16802488,101101.84,59.747253,,,13.849958,0.5412938
2001-03-14 12:00:00,13.625,102.125,0.0,0.0,0.0,1.6332875,0.6,0.3733912,100967.14,74.42942,,,13.786028,0.41159776
2001-01-01 12:00:00,13.625,102.375,128.62,992.2017,3166.2153,1.8048904,0.8,0.20973769,101102.21,58.584526,,,13.83809,0.49954674
2001-03-14 12:00:00,13.625,102.375,0.0,0.0,177.0934,1.7149838,0.6,0.4070481,100967.375,74.84702,,,13.743443,0.40215957
2001-01-01 12:00:00,13.625,102.625,4394.37,1205.3346,21519.531,1.8985811,0.90000004,0.24252161,101085.69,56.790764,,,13.894556,0.44791907
2001-03-14 12:00:00,13.625,102.625,0.0,0.0,26.8323,1.775451,0.7,0.4185702,100945.91,74.136,,,13.895492,0.44451097
2001-01-01 12:00:00,13.625,102.875,171.5,0.0,9815.268,1.9916272,0.6,0.21648729,101080.695,55.733505,,,13.955594,0.39226612
2001-03-14 12:00:00,13.625,102.875,0.0,0.0,0.0,1.7977481,0.4,0.38074103,100936.83,71.95656,,,14.007355,0.317518
2001-01-01 12:00:00,13.625,103.125,21.439999,416.2741,579.5784,1.9722551,0.6,0.17739657,101073.3,54.674835,,,13.92532,0.385668
2001-03-14 12:00:00,13.625,103.125,0.0,0.0,0.0,1.7504871,0.5,0.35037228,100928.55,70.82936,,,14.020552,0.3292427
2001-01-01 12:00:00,13.625,103.375,0.0,0.0,917.6658,1.8702921,0.6,0.1976612,101071.64,54.502144,,,14.008931,0.37954092
